,SHOPKEEPER_SPEECH,SHOPKEEPER,SPATIAL_STATE,CLUSTER_ID,TYPICAL_VECTOR,INTRACLUSTER_DISTANCE,TSS,IS_BAD_CLUSTER
2785,yes how can I help you,PASSIVE,PRESENT_X;CANON,70;PRESENT_X;CANON,-,0.6282768609,,-
4293,yes how may I help you,PASSIVE,PRESENT_X;CANON,70;PRESENT_X;CANON,-,0.6282768609,,-
2895,yes how may I help you,PASSIVE,PRESENT_X;CANON,70;PRESENT_X;CANON,-,0.6282768609,,-
3536,yes how can I help you,PASSIVE,PRESENT_X;CANON,70;PRESENT_X;CANON,-,0.6282768609,,-
3347,yes how can I help you today,PASSIVE,PRESENT_X;CANON,70;PRESENT_X;CANON,-,0.6282768609,,-
612,how can I help,PROACTIVE,PRESENT_X;CANON,70;PRESENT_X;CANON,-,0.6282768609,,-
2633,yes how can I help you,PASSIVE,PRESENT_X;CANON,70;PRESENT_X;CANON,-,0.6282768609,,-
2200,hi how can I help,PROACTIVE,PRESENT_X;CANON,70;PRESENT_X;CANON,-,0.6282768609,,-
3297,how can I help you,PASSIVE,PRESENT_X;CANON,70;PRESENT_X;CANON,-,0.6282768609,,-
1988,how can I help,PROACTIVE,PRESENT_X;CANON,70;PRESENT_X;CANON,-,0.6282768609,,-
4364,how can I help you,PASSIVE,PRESENT_X;CANON,70;PRESENT_X;CANON,-,0.6282768609,,-
1898,certainly how can I help,PROACTIVE,PRESENT_X;CANON,70;PRESENT_X;CANON,-,0.6282768609,,-
4671,how can I help,PASSIVE,PRESENT_X;CANON,70;PRESENT_X;CANON,-,0.6282768609,,-
4309,how can I help,PASSIVE,PRESENT_X;CANON,70;PRESENT_X;CANON,-,0.6282768609,,-
4844,yes how can I help you today,PASSIVE,PRESENT_X;CANON,70;PRESENT_X;CANON,-,0.6282768609,,-
4335,yes how can I help,PASSIVE,PRESENT_X;CANON,70;PRESENT_X;CANON,-,0.6282768609,,-
2934,may I help you,PASSIVE,PRESENT_X;CANON,70;PRESENT_X;CANON,-,0.6282768609,,-
4861,yes how can I help you today,PASSIVE,PRESENT_X;CANON,70;PRESENT_X;CANON,-,0.6282768609,,-
802,"maybe you are interested in this camera over here, this is the Nikon Coolpix and it's point-and-shoot very fast, very responsive, it's really good for going out with friends or going to a conference ",PROACTIVE,PRESENT_X;NIKON,710;PRESENT_X;NIKON,*,0.4842961629,,-
2153,"over here we have a different kind of camera, for the family and friends pictures for going out and so forth, this is nikon coolpix",PROACTIVE,PRESENT_X;NIKON,710;PRESENT_X;NIKON,-,0.4842961629,,-
1142,"we have an excellent family camera over here, this is the Nikon Coolpix, it's a point and shoot camera it's really rapid in the way it response, it's got great focus so your pictures will be sharp, they always look beautiful",PROACTIVE,PRESENT_X;NIKON,710;PRESENT_X;NIKON,-,0.4842961629,,-
4851,We actually have a camera that has automatically but also you can control it manually are you interested,PASSIVE,FACE_TO_FACE;NONE,711;FACE_TO_FACE;NONE,*,,,-
3468,"this one has a manual setting,  full manual settings you can adjust the aperture and shutter speed manually",PASSIVE,PRESENT_X;CANON,712;PRESENT_X;CANON,*,,,-
1810,thank you for your time I'll see you tomorrow,PROACTIVE,PRESENT_X;CANON,713;PRESENT_X;CANON,-,0.7463984754,,-
72,thank you for your time please come again,PROACTIVE,PRESENT_X;CANON,713;PRESENT_X;CANON,*,0.7463984754,,-
1922,thank you for your time,PROACTIVE,PRESENT_X;CANON,713;PRESENT_X;CANON,-,0.7463984754,,-
4433,this one has a crop sensor,PASSIVE,PRESENT_X;SONY,714;PRESENT_X;SONY,*,,,-
4171,It's pretty light it's just 120 grams,PASSIVE,WAITING;NONE,715;WAITING;NONE,*,,,-
3064,I have full manual control both for aperture and for focus too,PASSIVE,PRESENT_X;SONY,716;PRESENT_X;SONY,-,0.5870557626,,-
3639,"Yes it has full manual control you can control the aperture, shutter speed, focus with this camera",PASSIVE,PRESENT_X;SONY,716;PRESENT_X;SONY,-,0.5870557626,,-
2961,it has full manual control so you can control the aperture and the focus of the camera,PASSIVE,PRESENT_X;SONY,716;PRESENT_X;SONY,*,0.5870557626,,-
536,can I ask what sort of pictures you like to take,PROACTIVE,PRESENT_X;SONY,717;PRESENT_X;SONY,-,0.7371364701,,-
574,can I ask what sort of pictures you take,PROACTIVE,PRESENT_X;SONY,717;PRESENT_X;SONY,-,0.7371364701,,-
51,can I ask what sort of pictures you take,PROACTIVE,PRESENT_X;SONY,717;PRESENT_X;SONY,-,0.7371364701,,-
1646,can I ask what sort of pictures you take,PROACTIVE,PRESENT_X;SONY,717;PRESENT_X;SONY,-,0.7371364701,,-
322,can I ask what sort of pictures you take,PROACTIVE,PRESENT_X;SONY,717;PRESENT_X;SONY,*,0.7371364701,,-
463,can I ask what sort of pictures you'd like to take,PROACTIVE,PRESENT_X;SONY,717;PRESENT_X;SONY,-,0.7371364701,,-
1154,let's start the sort of pictures you take and we can match up,PROACTIVE,PRESENT_X;SONY,717;PRESENT_X;SONY,-,0.7371364701,,-
2166,can I ask what sort of  pictures you like to take,PROACTIVE,PRESENT_X;SONY,717;PRESENT_X;SONY,-,0.7371364701,,-
2281,can I ask what sort of pictures you take,PROACTIVE,PRESENT_X;SONY,717;PRESENT_X;SONY,-,0.7371364701,,-
691,can I ask what sort of pictures to take,PROACTIVE,PRESENT_X;SONY,717;PRESENT_X;SONY,-,0.7371364701,,-
3629,This one cost only $68,PASSIVE,PRESENT_X;NIKON,718;PRESENT_X;NIKON,-,0.6922512576,,-
2989,this camera cost only $68,PASSIVE,PRESENT_X;NIKON,718;PRESENT_X;NIKON,*,0.6922512576,,-
4203,"so I can show you to this one, this one cost only $68",PASSIVE,PRESENT_X;NIKON,718;PRESENT_X;NIKON,-,0.6922512576,,-
3094,this camera cost only $68,PASSIVE,PRESENT_X;NIKON,718;PRESENT_X;NIKON,-,0.6922512576,,-
4013,This one although not full frame it has a crop sensor,PASSIVE,PRESENT_X;SONY,719;PRESENT_X;SONY,-,0.6269928217,,-
4601,Yes This one has a crop sensor,PASSIVE,PRESENT_X;SONY,719;PRESENT_X;SONY,-,0.6269928217,,-
4461,this one has a crop sensor,PASSIVE,PRESENT_X;SONY,719;PRESENT_X;SONY,*,0.6269928217,,-
4522,No the DSLR has a full frame sensor but this one also have a crop sensor so it's quite good,PASSIVE,PRESENT_X;SONY,719;PRESENT_X;SONY,-,0.6269928217,,-
4517,this one has a crop sensor so although it's not full frame it's quite good,PASSIVE,PRESENT_X;SONY,719;PRESENT_X;SONY,-,0.6269928217,,-
433,this is the Mark 3 with full frame sensor,PROACTIVE,PRESENT_X;CANON,71;PRESENT_X;CANON,-,0.2868970662,,-
843,"this is the Canon 5d Mark 3 you may have heard about it, it's a photojournalism camera with full creative control, everything can be set manually, a wide range of lenses that you buy separate of course",PROACTIVE,PRESENT_X;CANON,71;PRESENT_X;CANON,-,0.2868970662,,-
178,this is the Canon 5d Mark 3 and it's the first choice of most top professionals it has full manual control and a huge range of lenses,PROACTIVE,PRESENT_X;CANON,71;PRESENT_X;CANON,-,0.2868970662,,-
544,this particular Canon is the latest 5d Mark 3 it has a full frame sensor so you can get fantastic quality out of It's kind used by top end photographers,PROACTIVE,PRESENT_X;CANON,71;PRESENT_X;CANON,-,0.2868970662,,-
973,"you'll be looking at the top en professional camera with full manual settings, this is the Canon 5d Mark 3 ,if it can be set manually on any camera can be set manually on this camera, it's designed to handle any conditions in any place at any time according to what you want to do",PROACTIVE,PRESENT_X;CANON,71;PRESENT_X;CANON,-,0.2868970662,,-
155,this is the Canon 5d Mark 3 and it has all the manual settings you could ever want full creative control,PROACTIVE,PRESENT_X;CANON,71;PRESENT_X;CANON,*,0.2868970662,,-
2046,"the Canon 5d mark 3 will be able to do anything you want, so if you got a top shutter speed of 30 seconds, then you have a setting where you can keep the shutter open for as long as you wan, a minute, an hour, or a week",PROACTIVE,PRESENT_X;CANON,71;PRESENT_X;CANON,-,0.2868970662,,-
585,this is the brand new Canon 5d mark 3 if you already have some Canon lenses that will work on this camera the shutter speed will go quick it will go 30 seconds,PROACTIVE,PRESENT_X;CANON,71;PRESENT_X;CANON,-,0.2868970662,,-
1003,"so you're a professional, and this is a tough and professional camera the latest Canon 5d Mark 3",PROACTIVE,PRESENT_X;CANON,71;PRESENT_X;CANON,-,0.2868970662,,-
1393,what features do you need,PROACTIVE,FACE_TO_FACE;NONE,720;FACE_TO_FACE;NONE,*,,,-
4358,we do have a camera that comes in pink can read,PASSIVE,PRESENT_X;SONY,721;PRESENT_X;SONY,*,,,-
1454,See you then have a great afternoon thank you,PROACTIVE,PRESENT_X;NIKON,722;PRESENT_X;NIKON,-,0.8936592042,,-
1370,I look forward to seeing you then have a great afternoon thank you,PROACTIVE,PRESENT_X;NIKON,722;PRESENT_X;NIKON,*,0.8936592042,,-
2266,"this camera is $68, it's fantastic with family and friends its like the next step up from your mobile phone fully point and shoot, please take a couple pictures with it",PROACTIVE,PRESENT_X;NIKON,723;PRESENT_X;NIKON,*,0.6470748484,,-
2127,"the nikon over here is fantastic, it's actually the next step up from your mobile phone camera so if you're used to using that, it's direct competition now, picture quality is a lot better there's no lag when you push the shuttered, it happen straight away please pick it up and take some pictures",PROACTIVE,PRESENT_X;NIKON,723;PRESENT_X;NIKON,-,0.6470748484,,-
4183,that one is actually for a professional photographer because there's no preset mode you have to set everything manually,PASSIVE,PRESENT_X;CANON,724;PRESENT_X;CANON,*,,,-
3847,okay please consider,PASSIVE,PRESENT_X;SONY,725;PRESENT_X;SONY,*,,,-
4103,for sport pictures it's better because it has 179 autofocus points so it's really good for taking moving objects,PASSIVE,PRESENT_X;SONY,726;PRESENT_X;SONY,-,0.6086189896,,-
4042,it has 179 autofocus points so it's the perfect camera to take sports pictures,PASSIVE,PRESENT_X;SONY,726;PRESENT_X;SONY,-,0.6086189896,,-
1310,this has 179 autofocus points so it's very good at catching autofocus throughout the picture and when objects are moving it can follow them quite closely,PROACTIVE,PRESENT_X;SONY,726;PRESENT_X;SONY,-,0.6086189896,,-
4889,This one has really high focus points it has 179 autofocus points so it's really good at taking moving objects pictures,PASSIVE,PRESENT_X;SONY,726;PRESENT_X;SONY,*,0.6086189896,,-
2508,what kind of pictures do you want to take afterwards,PROACTIVE,PRESENT_X;NIKON,727;PRESENT_X;NIKON,*,0.7347484827,,-
343,what kind of pictures do you take when you go to sporting events,PROACTIVE,PRESENT_X;NIKON,727;PRESENT_X;NIKON,-,0.7347484827,,-
139,we have many cameras what kind of pictures do you take may I ask,PROACTIVE,PRESENT_X;NIKON,727;PRESENT_X;NIKON,-,0.7347484827,,-
3523,This one has 179 autofocus points,PASSIVE,PRESENT_X;SONY,728;PRESENT_X;SONY,*,,,-
4430,yes this one with 950 grams so quite heavy,PASSIVE,PRESENT_X;CANON,729;PRESENT_X;CANON,-,0.6799883445,,-
2619,that was pretty heavy it's 950 grams,PASSIVE,PRESENT_X;CANON,729;PRESENT_X;CANON,*,0.6799883445,,-
4143,950 grams,PASSIVE,PRESENT_X;CANON,729;PRESENT_X;CANON,-,0.6799883445,,-
1309,"this is a lightweight camera designed for travel, it takes beautiful pictures and you can change the lenses on it, but generally speaking there's some compromises, it only weighs half a kilogram as compared to over a kilogram for full manual control camera",PROACTIVE,PRESENT_X;SONY,72;PRESENT_X;SONY,-,0.4010379389,,-
